fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana
20231110 162840	610	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	127	1	1	1	FALSE	1	0.1	50	0.5	TRUE	997751	0.0615127365640365	0.124412706056464	890	33533	18254	125160230.884558	1
20231110 163232	610	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	304	1	1	1	FALSE	1	0.1	50	0.5	TRUE	997751	0.121975307213725	0.882554957931716	117	20943	11316	148245111.444278	2
20231110 163824	610	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	86	1	1	1	FALSE	1	0.1	50	0.5	TRUE	997751	0.171871110884822	0.543382557859295	615	252	13695	119122806.096952	3
20231110 164752	610	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	866	1	1	1	FALSE	1	0.1	50	0.5	TRUE	997751	0.181235373360687	0.366023866574833	145	41432	12651	144817752.623688	4
20231110 170312	610	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1544	1	1	1	FALSE	1	0.1	50	0.5	TRUE	997751	0.106680578128435	0.396345736711519	470	37900	13671	141275913.543228	5
20231110 170809	610	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	388	1	1	1	FALSE	1	0.1	50	0.5	TRUE	997751	0.150031049169484	0.199278492816957	443	17393	12163	138728445.277361	6
20231110 171230	610	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	191	1	1	1	FALSE	1	0.1	50	0.5	TRUE	997751	0.261138238456333	0.595343472198001	819	28086	12458	147370471.764118	7
20231110 171634	610	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	396	1	1	1	FALSE	1	0.1	50	0.5	TRUE	997751	0.12875817793305	0.801031789817207	694	24728	13536	147419034.482759	8
20231110 172002	610	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	278	1	1	1	FALSE	1	0.1	50	0.5	TRUE	997751	0.216920523925801	0.820520793561154	240	29017	14242	142999673.163418	9
20231110 172812	610	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	651	1	1	1	FALSE	1	0.1	50	0.5	TRUE	997751	0.0452571233961498	0.271757991511404	544	9427	12935	147086984.007996	10
20231110 173123	610	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	357	1	1	1	FALSE	1	0.1	50	0.5	TRUE	997751	0.272264137467137	0.069043665498175	373	13012	11497	139485977.511244	11
20231110 173402	610	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	87	1	1	1	FALSE	1	0.1	50	0.5	TRUE	997751	0.0368168283719569	0.643412979680725	267	45232	15272	130743656.171914	12
20231110 173632	610	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	16	1	1	1	FALSE	1	0.1	50	0.5	TRUE	997751	0.237943682851619	0.972001973045408	713	11088	11902	138882301.849075	13
20231110 173932	610	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	285	1	1	1	FALSE	1	0.1	50	0.5	TRUE	997751	0.282882515410893	0.710516991152981	974	48596	14184	140887212.393803	14
20231110 174642	610	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	431	1	1	1	FALSE	1	0.1	50	0.5	TRUE	997751	0.196073385443306	0.459006536293891	68	3258	11635	126011071.964018	15
20231110 175355	610	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	880	1	1	1	FALSE	1	0.1	50	0.5	TRUE	997751	0.0837448015902191	0.172371082311729	914	37120	14983	143067605.697151	16
20231110 175732	610	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	283	1	1	1	FALSE	1	0.1	50	0.5	TRUE	997751	0.181310618661509	0.885953771492461	284	22830	13077	148582479.26037	17
20231110 180019	610	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	143	1	1	1	FALSE	1	0.1	50	0.5	TRUE	997751	0.284507890861508	0.772954257368573	540	25885	13691	144119361.81909	18
20231110 180543	610	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	623	1	1	1	FALSE	1	0.1	50	0.5	TRUE	997751	0.0721321747543299	0.849743501715641	843	22170	11916	145951658.170915	19
20231110 181832	610	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1362	1	1	1	FALSE	1	0.1	50	0.5	TRUE	997751	0.0944793243750617	0.397443376648345	8	23421	13503	147804377.311344	20
20231110 182432	610	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	321	1	1	1	FALSE	1	0.1	50	0.5	TRUE	997751	0.284308012690194	0.467892638713582	18	21619	10738	143329992.003998	21
20231110 182854	610	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	408	1	1	1	FALSE	1	0.1	50	0.5	TRUE	997751	0.10426650234105	0.998622739362009	161	23386	12238	152556068.965517	22
20231110 183226	610	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	96	1	1	1	FALSE	1	0.1	50	0.5	TRUE	997751	0.0207050441621613	0.999165492921641	32	23682	14252	136993281.35932	23
20231110 183529	610	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	214	1	1	1	FALSE	1	0.1	50	0.5	TRUE	997751	0.231564634596269	0.699407629624085	879	30271	15161	138456008.495752	24
20231110 184938	610	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1972	1	1	1	FALSE	1	0.1	50	0.5	TRUE	997751	0.125930399200693	0.213202784186352	62	44382	14083	145151233.883058	25
20231110 185230	610	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	79	1	1	1	FALSE	1	0.1	50	0.5	TRUE	997751	0.0346716914121974	0.763763844154565	845	39980	12505	132786659.170415	26
20231110 185930	610	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1186	1	1	1	FALSE	1	0.1	50	0.5	TRUE	997751	0.124362175391999	0.649923987066497	316	49475	13374	143494283.858071	27
20231110 190619	610	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	646	1	1	1	FALSE	1	0.1	50	0.5	TRUE	997751	0.217178329590757	0.601606815461963	402	37082	14052	143894070.964518	28
20231110 190907	610	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	135	1	1	1	FALSE	1	0.1	50	0.5	TRUE	997751	0.205383877507366	0.125274451189268	969	22875	13811	135011315.842079	29
20231110 191258	610	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	325	1	1	1	FALSE	1	0.1	50	0.5	TRUE	997751	0.284906744494448	0.149694400041719	928	35788	12162	136470257.871064	30
20231110 191453	610	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	31	1	1	1	FALSE	1	0.1	50	0.5	TRUE	997751	0.212319774313307	0.0789313707490044	624	23126	15975	121881386.806597	31
20231110 191954	610	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	103	1	1	1	FALSE	1	0.1	50	0.5	TRUE	997751	0.247657908351348	0.614645622768598	963	1326	15257	129028026.486757	32
20231110 192252	610	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	104	1	1	1	FALSE	1	0.1	50	0.5	TRUE	997751	0.0255211616097767	0.771906651747928	242	43910	12077	135273733.633183	33
20231110 192712	610	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	413	1	1	1	FALSE	1	0.1	50	0.5	TRUE	997751	0.0968968647134613	0.880119112999079	426	21900	12864	149612969.515242	34
20231110 193202	610	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1037	1	1	1	FALSE	1	0.1	50	0.5	TRUE	997751	0.102808065838124	0.886077000917332	8	26589	12803	148562588.205897	35
20231110 193635	610	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	436	1	1	1	FALSE	1	0.1	50	0.5	TRUE	997751	0.0873596421270424	0.999539063087015	121	20890	11793	145659074.962519	36
20231110 194026	610	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	342	1	1	1	FALSE	1	0.1	50	0.5	TRUE	997751	0.110996066143985	0.999815289123205	337	23759	11379	147187999.50025	37
20231110 194413	610	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	300	1	1	1	FALSE	1	0.1	50	0.5	TRUE	997751	0.103896467879549	0.793076110642857	142	19580	12432	142648483.758121	38
20231110 194753	610	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	290	1	1	1	FALSE	1	0.1	50	0.5	TRUE	997751	0.0995463181795568	0.99964856559726	206	24995	12518	149988212.893553	39
20231110 195214	610	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	432	1	1	1	FALSE	1	0.1	50	0.5	TRUE	997751	0.10414031034349	0.959794846941844	63	21936	12505	150894725.137431	40
20231110 195618	610	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	357	1	1	1	FALSE	1	0.1	50	0.5	TRUE	997751	0.102486666177086	0.996388484184804	805	22666	11906	146316630.684658	41
20231110 200118	610	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	587	1	1	1	FALSE	1	0.1	50	0.5	TRUE	997751	0.129550051446279	0.992734887757644	55	25251	13475	146116919.04048	42
20231110 200905	610	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	428	1	1	1	FALSE	1	0.1	50	0.5	TRUE	997751	0.0894771018451352	0.560021931801519	645	23826	15286	147469584.207896	43
20231110 201244	610	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	360	1	1	1	FALSE	1	0.1	50	0.5	TRUE	997751	0.183011981781107	0.857544918666947	249	33348	11989	144503826.586707	44
20231110 202148	610	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	593	1	1	1	FALSE	1	0.1	50	0.5	TRUE	997751	0.12567457516975	0.5623411529308	141	26935	14951	147395333.833083	45
