fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana
20231110 180920	610	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	160	1	1	1	FALSE	1	0.1	50	0.5	TRUE	997751	0.0615127365640365	0.124412706056464	890	33533	16368	130521811.094453	1
20231110 181356	610	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	402	1	1	1	FALSE	1	0.1	50	0.5	TRUE	997751	0.121975307213725	0.882554957931716	117	20943	13573	147282193.403298	2
20231110 181950	610	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	84	1	1	1	FALSE	1	0.1	50	0.5	TRUE	997751	0.171871110884822	0.543382557859295	615	252	14665	132385339.830085	3
20231110 182804	610	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	663	1	1	1	FALSE	1	0.1	50	0.5	TRUE	997751	0.181235373360687	0.366023866574833	145	41432	15463	139563897.551224	4
20231110 183140	610	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	19	1	1	1	FALSE	1	0.1	50	0.5	TRUE	997751	0.106680578128435	0.396345736711519	470	37900	13231	127575223.888056	5
20231110 183621	610	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	329	1	1	1	FALSE	1	0.1	50	0.5	TRUE	997751	0.150031049169484	0.199278492816957	443	17393	11110	139966871.564218	6
20231110 184116	610	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	257	1	1	1	FALSE	1	0.1	50	0.5	TRUE	997751	0.261138238456333	0.595343472198001	819	28086	14207	136066262.368816	7
20231110 184339	610	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	20	1	1	1	FALSE	1	0.1	50	0.5	TRUE	997751	0.12875817793305	0.801031789817207	694	24728	16444	131319286.356822	8
20231110 184714	610	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	298	1	1	1	FALSE	1	0.1	50	0.5	TRUE	997751	0.216920523925801	0.820520793561154	240	29017	13775	143756929.035482	9
20231110 185455	610	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	561	1	1	1	FALSE	1	0.1	50	0.5	TRUE	997751	0.0452571233961498	0.271757991511404	544	9427	13767	144979945.527236	10
20231110 185826	610	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	433	1	1	1	FALSE	1	0.1	50	0.5	TRUE	997751	0.272264137467137	0.069043665498175	373	13012	13618	135845554.222889	11
20231110 190113	610	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	88	1	1	1	FALSE	1	0.1	50	0.5	TRUE	997751	0.0368168283719569	0.643412979680725	267	45232	13993	134605441.77911	12
20231110 190429	610	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	124	1	1	1	FALSE	1	0.1	50	0.5	TRUE	997751	0.237943682851619	0.972001973045408	713	11088	13940	134240409.795102	13
