fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana
20231110 181317	610	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	52	1	1	1	FALSE	1	0.1	50	0.5	TRUE	997751	0.0615127365640365	0.124412706056464	890	33533	14125	116937833.583208	1
20231110 182125	610	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	616	1	1	1	FALSE	1	0.1	50	0.5	TRUE	997751	0.121975307213725	0.882554957931716	117	20943	14422	137919863.068466	2
20231110 182926	610	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	191	1	1	1	FALSE	1	0.1	50	0.5	TRUE	997751	0.171871110884822	0.543382557859295	615	252	12585	130648668.165917	3
20231110 184323	610	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1362	1	1	1	FALSE	1	0.1	50	0.5	TRUE	997751	0.181235373360687	0.366023866574833	145	41432	14214	131816702.648676	4
20231110 184710	610	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	26	1	1	1	FALSE	1	0.1	50	0.5	TRUE	997751	0.106680578128435	0.396345736711519	470	37900	19890	107576356.821589	5
20231110 185532	610	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	782	1	1	1	FALSE	1	0.1	50	0.5	TRUE	997751	0.150031049169484	0.199278492816957	443	17393	14498	135919297.351324	6
20231110 190037	610	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	163	1	1	1	FALSE	1	0.1	50	0.5	TRUE	997751	0.261138238456333	0.595343472198001	819	28086	14455	136507153.923038	7
20231110 190725	610	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	478	1	1	1	FALSE	1	0.1	50	0.5	TRUE	997751	0.12875817793305	0.801031789817207	694	24728	14030	140668340.829585	8
20231110 191208	610	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	252	1	1	1	FALSE	1	0.1	50	0.5	TRUE	997751	0.216920523925801	0.820520793561154	240	29017	16086	130218729.635182	9
20231110 192838	610	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1465	1	1	1	FALSE	1	0.1	50	0.5	TRUE	997751	0.0452571233961498	0.271757991511404	544	9427	14997	141504818.090955	10
20231110 193230	610	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	311	1	1	1	FALSE	1	0.1	50	0.5	TRUE	997751	0.272264137467137	0.069043665498175	373	13012	13383	113833282.858571	11
20231110 193615	610	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	73	1	1	1	FALSE	1	0.1	50	0.5	TRUE	997751	0.0368168283719569	0.643412979680725	267	45232	14160	130564237.881059	12
20231110 194127	610	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	184	1	1	1	FALSE	1	0.1	50	0.5	TRUE	997751	0.237943682851619	0.972001973045408	713	11088	12851	131317162.918541	13
20231110 194640	610	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	398	1	1	1	FALSE	1	0.1	50	0.5	TRUE	997751	0.282882515410893	0.710516991152981	974	48596	13998	141318987.506247	14
20231110 195146	610	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	142	1	1	1	FALSE	1	0.1	50	0.5	TRUE	997751	0.196073385443306	0.459006536293891	68	3258	14860	133916051.974013	15
20231110 195454	610	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	41	1	1	1	FALSE	1	0.1	50	0.5	TRUE	997751	0.0837448015902191	0.172371082311729	914	37120	14646	123553302.348826	16
20231110 200636	610	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	992	1	1	1	FALSE	1	0.1	50	0.5	TRUE	997751	0.0453000334313408	0.230889722760633	543	6688	13840	141496691.654173	17
20231110 201145	610	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	346	1	1	1	FALSE	1	0.1	50	0.5	TRUE	997751	0.277731699793292	0.709975301079651	951	40040	13305	137181721.63918	18
20231110 203657	610	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1055	1	1	1	FALSE	1	0.1	50	0.5	TRUE	997751	0.0385207859338086	0.759468284602811	556	1263	13020	144762028.985507	19
20231110 204945	610	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	347	1	1	1	FALSE	1	0.1	50	0.5	TRUE	997751	0.0429641471618153	0.834010874170372	735	152	13090	146230909.545227	20
20231110 210256	610	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	390	1	1	1	FALSE	1	0.1	50	0.5	TRUE	997751	0.0406404371570655	0.566086492318006	1017	171	15298	141161636.181909	21
20231110 211016	610	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	375	1	1	1	FALSE	1	0.1	50	0.5	TRUE	997751	0.0439169688149792	0.925044571569466	290	123	14030	142589720.13993	22
20231110 212005	610	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	260	1	1	1	FALSE	1	0.1	50	0.5	TRUE	997751	0.0392752383160408	0.998202442177113	780	174	12626	144240348.825587	23
20231110 212821	610	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1087	1	1	1	FALSE	1	0.1	50	0.5	TRUE	997751	0.133470659292779	0.977171456487284	24	6203	12870	136466801.5992	24
20231110 213433	610	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	547	1	1	1	FALSE	1	0.1	50	0.5	TRUE	997751	0.291549667869076	0.986295404904789	1024	44752	15243	131673172.913543	25
20231110 214243	610	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	212	1	1	1	FALSE	1	0.1	50	0.5	TRUE	997751	0.0417438545068048	0.823450493504821	587	163	13542	144040822.588706	26
20231110 215458	610	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	419	1	1	1	FALSE	1	0.1	50	0.5	TRUE	997751	0.045105576632936	0.992410154477818	909	120	11448	143822300.849575	27
20231110 220553	610	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	389	1	1	1	FALSE	1	0.1	50	0.5	TRUE	997751	0.0344389312708378	0.926795384155306	709	111	13197	144847046.976512	28
20231110 222048	610	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	626	1	1	1	FALSE	1	0.1	50	0.5	TRUE	997751	0.0286383164187098	0.755705901696975	659	171	14412	142313001.49925	29
20231110 223348	610	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1246	1	1	1	FALSE	1	0.1	50	0.5	TRUE	997751	0.0326386340657876	0.103887766711348	676	194	12623	136872343.328336	30
20231110 223557	610	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	95	1	1	1	FALSE	1	0.1	50	0.5	TRUE	997751	0.127651421102458	0.0132942255204802	265	2718	11233	127662393.303348	31
20231110 224901	610	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	569	1	1	1	FALSE	1	0.1	50	0.5	TRUE	997751	0.0447161183277998	0.740242896338785	746	140	13516	135961913.043478	32
20231110 230509	610	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	986	1	1	1	FALSE	1	0.1	50	0.5	TRUE	997751	0.0385528016957979	0.856073951847734	843	3212	13695	143491341.829085	33
