fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana
20231110 183243	610	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	120	1	1	1	FALSE	1	0.1	50	0.5	TRUE	997751	0.0615127365640365	0.124412706056464	890	33533	17121	120901225.887056	1
20231110 184136	610	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	249	1	1	1	FALSE	1	0.1	50	0.5	TRUE	997751	0.121975307213725	0.882554957931716	117	20943	13850	137231309.345327	2
20231110 184713	610	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	20	1	1	1	FALSE	1	0.1	50	0.5	TRUE	997751	0.171871110884822	0.543382557859295	615	252	13296	128392187.906047	3
20231110 185534	610	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	635	1	1	1	FALSE	1	0.1	50	0.5	TRUE	997751	0.181235373360687	0.366023866574833	145	41432	15514	139493754.122939	4
20231110 190426	610	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	639	1	1	1	FALSE	1	0.1	50	0.5	TRUE	997751	0.106680578128435	0.396345736711519	470	37900	13730	141695077.461269	5
20231110 190839	610	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	184	1	1	1	FALSE	1	0.1	50	0.5	TRUE	997751	0.150031049169484	0.199278492816957	443	17393	13264	141520675.662169	6
20231110 191221	610	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	9	1	1	1	FALSE	1	0.1	50	0.5	TRUE	997751	0.261138238456333	0.595343472198001	819	28086	17347	122468071.464268	7
20231110 191725	610	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	267	1	1	1	FALSE	1	0.1	50	0.5	TRUE	997751	0.12875817793305	0.801031789817207	694	24728	12714	142100230.884558	8
20231110 192128	610	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	164	1	1	1	FALSE	1	0.1	50	0.5	TRUE	997751	0.216920523925801	0.820520793561154	240	29017	12402	141109778.110945	9
20231110 193140	610	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	739	1	1	1	FALSE	1	0.1	50	0.5	TRUE	997751	0.0452571233961498	0.271757991511404	544	9427	14437	143801209.895052	10
20231110 193447	610	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	171	1	1	1	FALSE	1	0.1	50	0.5	TRUE	997751	0.272264137467137	0.069043665498175	373	13012	11847	106110740.129935	11
20231110 193837	610	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	83	1	1	1	FALSE	1	0.1	50	0.5	TRUE	997751	0.0368168283719569	0.643412979680725	267	45232	15898	120762635.682159	12
20231110 194341	610	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	177	1	1	1	FALSE	1	0.1	50	0.5	TRUE	997751	0.237943682851619	0.972001973045408	713	11088	14313	135749649.675162	13
20231110 194713	610	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	139	1	1	1	FALSE	1	0.1	50	0.5	TRUE	997751	0.282882515410893	0.710516991152981	974	48596	11667	142300775.112444	14
20231110 195350	610	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	324	1	1	1	FALSE	1	0.1	50	0.5	TRUE	997751	0.196073385443306	0.459006536293891	68	3258	15287	127665562.718641	15
20231110 195709	610	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	78	1	1	1	FALSE	1	0.1	50	0.5	TRUE	997751	0.0837448015902191	0.172371082311729	914	37120	16372	123567134.432784	16
20231110 200251	610	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	325	1	1	1	FALSE	1	0.1	50	0.5	TRUE	997751	0.14032017109804	0.247768684294222	334	16436	14140	133681529.235382	17
20231110 202023	610	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1849	1	1	1	FALSE	1	0.1	50	0.5	TRUE	997751	0.027305414270752	0.211702739724597	608	8930	14068	143446098.950525	18
20231110 202947	610	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	749	1	1	1	FALSE	1	0.1	50	0.5	TRUE	997751	0.0980056777952912	0.333827206630174	539	29619	14192	135201407.296352	19
20231110 203412	610	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	256	1	1	1	FALSE	1	0.1	50	0.5	TRUE	997751	0.275774350922852	0.755028171676771	900	39480	13478	135977578.210895	20
20231110 210550	610	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2697	1	1	1	FALSE	1	0.1	50	0.5	TRUE	997751	0.0203323538943333	0.273597117357414	781	4255	13442	147391097.451274	21
20231110 211629	610	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	485	1	1	1	FALSE	1	0.1	50	0.5	TRUE	997751	0.0457069519787262	0.281266013715192	1022	128	12844	143427152.423788	22
20231110 212220	610	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	152	1	1	1	FALSE	1	0.1	50	0.5	TRUE	997751	0.225893110915597	0.273970123815447	765	170	10949	114315180.909545	23
